task,embedding,kernel,R,R2,kendalltau,log_loss,SE
only_cut_secreted,X_only_sp_secretion_data_4_2.pkl,Matern5/2,-0.3778699554059364,-0.015047375581969558,-0.23848095581069054,179.17006463024433,1.2282446221990817
only_cut_secreted,X_small_4_7.pkl,Matern5/2,-0.37601748675180174,-0.014972352773624964,-0.23146681005155256,179.16423920742758,1.2281538418442843
only_cut_secreted,X_only_sp_secretion_data_4_6.pkl,Matern5/2,-0.376239123685008,-0.014976090424452693,-0.2332965872061103,179.16392778642205,1.2281583645391254
only_cut_secreted,X_original_2_7.pkl,Matern5/2,0.10898976975116398,0.0012913869116026877,0.08270710868058569,180.7455739126684,1.2084741192167827
only_cut_secreted,X_original_4_4.pkl,Matern5/2,-0.4360343355828217,-0.028231557985780364,-0.31003262618343613,179.89939393653736,1.244197967358255
only_cut_secreted,X_sp_secretion_data_5_5.pkl,Matern5/2,-0.40436859022905025,-0.01654423276448469,-0.2634879102563128,179.25668179500028,1.23005587439169
only_cut_secreted,X_sp_secretion_data_5_2.pkl,Matern5/2,-0.41995379656790804,-0.019393703717673683,-0.2116442242105105,179.43010350345764,1.2335038389483792
only_cut_secreted,X_small_1_3.pkl,Matern5/2,-0.26293840371716115,-0.054716656909396866,-0.16650972106475323,181.76238447488785,1.2762459102463315
only_cut_secreted,X_only_sp_secretion_data_3_7.pkl,Matern5/2,-0.02206798870980877,-0.025003906993972924,0.003049628590929546,180.08409457210246,1.240292391058676
only_cut_secreted,X_only_sp_secretion_data_3_3.pkl,Matern5/2,-0.08338735933749437,-0.03685802354747847,-0.021652362995599778,180.64925783592608,1.2546363076659346
only_cut_secreted,X_original_5_6.pkl,Matern5/2,-0.37641216469183797,-0.014991301207623486,-0.22872214431971596,179.15986342207205,1.2281767701456796
only_cut_secreted,X_sp_secretion_data_5_7.pkl,Matern5/2,-0.45115276052209385,-0.028936116337122675,-0.308927376261163,179.96023241725734,1.2450505088522574
only_cut_secreted,X_small_1_5.pkl,Matern5/2,-0.4369932758010495,-0.029572007712656,-0.2515943587516876,179.99310649344926,1.2458199607823743
only_cut_secreted,X_only_sp_secretion_data_3_1.pkl,Matern5/2,-0.109066795092704,-0.0427387511824624,-0.026226805881994098,180.98589089902254,1.2617522041906117
only_cut_secreted,X_small_3_2.pkl,Matern5/2,-0.4194347724944004,-0.018463089274824762,-0.2697329642866232,179.4258103442987,1.232377761277261
only_cut_secreted,X_small_4_1.pkl,Matern5/2,-0.3759930653247687,-0.014969786866581236,-0.23207673576973845,179.16514508690426,1.2281507370024778
only_cut_secreted,X_original_2_2.pkl,Matern5/2,0.12210822346087719,0.01004478852727031,0.12356972350636737,178.08801993782114,1.1978821816195564
only_cut_secreted,X_small_2_3.pkl,Matern5/2,-0.46178727635530364,-0.026131959013605544,-0.23848095581069054,180.10581766659024,1.241657375452513
only_cut_secreted,X_sp_secretion_data_3_6.pkl,Matern5/2,-0.23255144566980393,-0.05279545511292172,-0.16165659829062476,181.36916157387014,1.2739211854783599
only_cut_secreted,X_sp_secretion_data_2_4.pkl,Matern5/2,-0.38048299825738907,-0.03202245369823031,-0.2644027988335917,179.84492104387155,1.2487850904661444
only_cut_secreted,X_small_3_1.pkl,Matern5/2,-0.37316788384204524,-0.02340602021722127,-0.27980787976082644,179.7057242220123,1.238358889344726
only_cut_secreted,X_only_sp_secretion_data_3_4.pkl,Matern5/2,-0.06558462666648313,-0.034358237876390474,-0.012808440081904095,180.54075493248925,1.2516114751497145
only_cut_secreted,X_sp_secretion_data_4_6.pkl,Matern5/2,-0.37590053304253557,-0.014967117090779691,-0.2305519214742737,179.16430484153457,1.2281475064756573
only_cut_secreted,X_small_5_2.pkl,Matern5/2,-0.3760633498252313,-0.014976701830205164,-0.22902710717880895,179.16497127185394,1.2281591043625517
only_cut_secreted,X_original_2_5.pkl,Matern5/2,-0.03707043812876885,-0.023197682637476902,-0.02500695444562228,179.65328990798855,1.238106793217906
only_cut_secreted,X_small_5_5.pkl,Matern5/2,-0.3766041761815599,-0.014998888663459109,-0.23177177291064552,179.16415527125577,1.2281859512460402
only_cut_secreted,X_sp_secretion_data_4_4.pkl,Matern5/2,-0.37610507072833466,-0.014974859825592546,-0.23451643864248212,179.16968420836434,1.2281568754692862
only_cut_secreted,X_small_4_5.pkl,Matern5/2,-0.3761427842158358,-0.014975226780892248,-0.2311618471924596,179.1650441079776,1.2281573194986826
only_cut_secreted,X_original_1_7.pkl,Matern5/2,-0.30457328429691444,-0.04772276782629392,-0.1646799439101955,181.193686985754,1.2677830474665004
only_cut_secreted,X_only_sp_secretion_data_5_1.pkl,Matern5/2,-0.3762906873193585,-0.014988452753374348,-0.22933207003790188,179.16491978086754,1.228173323411372
only_cut_secreted,X_sp_secretion_data_2_5.pkl,Matern5/2,-0.3822220041901653,-0.020607294119155295,-0.26775739028361417,179.5761002736852,1.234972327927347
only_cut_secreted,X_sp_secretion_data_5_3.pkl,Matern5/2,-0.37589496312627435,-0.014967310185934668,-0.22902710717880895,179.16452281647128,1.22814774012789
only_cut_secreted,X_sp_secretion_data_2_3.pkl,Matern5/2,-0.4255644863227707,-0.02223787504824659,-0.28544523611100553,179.67183922829417,1.236945390766969
only_cut_secreted,X_sp_secretion_data_4_5.pkl,Matern5/2,-0.37592092717403935,-0.014968108843200323,-0.23360155006520325,179.16433106135216,1.228148706532528
only_cut_secreted,X_only_sp_secretion_data_5_4.pkl,Matern5/2,-0.37647198872799836,-0.014990866327235786,-0.22902710717880895,179.16599719524382,1.2281762439244308
only_cut_secreted,X_only_sp_secretion_data_1_1.pkl,Matern5/2,0.02985366944647164,-0.015646310963792542,0.07616054740862742,179.10161146273595,1.2289693560188673
